"county","state","GEOID","rate"
"Union County","FL","12125",982.6
"Harding County","NM","35021",721
"Holmes County","MS","28051",697.2
"Logan County","NE","31113",642.5
"Yalobusha County","MS","28161",636.3
"Dallam County","TX","48111",626.1
"Kingsbury County","SD","46077",606.9
"Meagher County","MT","30059",593.8
"Clay County","WV","54015",593.1
"Greene County","AL","01063",591.2
"Thomas County","NE","31171",590
"Sanborn County","SD","46111",587.8
"Turner County","GA","13287",574.7
"Iberville Parish","LA","22047",574.4
"Grand Isle County","VT","50013",573.3
"Golden Valley County","MT","30037",567.8
"Lewis County","WV","54041",566.2
"Catahoula Parish","LA","22025",562.9
"Tucker County","WV","54093",561.7
"Cape May County","NJ","34009",557.5
"Haakon County","SD","46055",557
"Ida County","IA","19093",556.9
"Wyoming County","NY","36121",554.6
"Vilas County","WI","55125",551.4
"East Feliciana Parish","LA","22037",551
"Garfield County","NE","31071",550.5
"Logan County","WV","54045",550.5
"Marion County","TN","47115",550.3
"Bullock County","AL","01011",549.6
"Treasure County","MT","30103",548.8
"Erie County","NY","36029",548.5
"Chautauqua County","NY","36013",547.8
"Adams County","IA","19003",546.9
"Suffolk County","NY","36103",546.1
"Calhoun County","IA","19025",545.8
"Benton County","TN","47005",545.2
"Lee County","GA","13177",543.2
"Tunica County","MS","28143",542.9
"Camden County","NJ","34007",542.2
"Gloucester County","NJ","34015",542
"Dewey County","SD","46041",540.9
"Nassau County","NY","36059",540.6
"Lewis County","TN","47101",540.5
"Cumberland County","NJ","34011",539.9
"Talbot County","GA","13263",539.4
"Pulaski County","MO","29169",538.6
"Burlington County","NJ","34005",538.2
"Greene County","IA","19073",537.9
"Cheatham County","TN","47021",536.8
"St. Landry Parish","LA","22097",536.5
"Gregory County","SD","46053",536.5
"Towns County","GA","13281",536.1
"Wayne County","MO","29223",535.6
"Page County","IA","19145",535.3
"Richmond County","NY","36085",534.9
"Monmouth County","NJ","34025",534.4
"Union County","SD","46127",534.2
"Saline County","NE","31151",534
"Chattahoochee County","GA","13053",533.1
"Gem County","ID","16045",532.7
"St. Francois County","MO","29187",532.5
"Mingo County","WV","54059",532.3
"Washington Parish","LA","22117",532.2
"West Baton Rouge Parish","LA","22121",532
"Polk County","TX","48373",531.2
"Humphreys County","TN","47085",531.1
"Osceola County","MI","26133",531.1
"Vermilion Parish","LA","22113",529.9
"Scott County","MS","28123",529.1
"Musselshell County","MT","30065",528.8
"Union County","TN","47173",528.6
"Rockland County","NY","36087",527.5
"Washington County","MS","28151",526.5
"Dallas County","AL","01047",526.3
"Wicomico County","MD","24045",525.7
"Clayton County","GA","13063",525.6
"Scott County","TN","47151",525.5
"Chambers County","AL","01017",525.5
"Oswego County","NY","36075",525.1
"Sabine Parish","LA","22085",524.5
"Gray County","TX","48179",524.2
"Wexford County","MI","26165",523.9
"Jackson County","IA","19097",523.7
"Leflore County","MS","28083",523.2
"Winkler County","TX","48495",522.6
"Ocean County","NJ","34029",522.6
"Hale County","AL","01065",522.5
"Onondaga County","NY","36067",522.5
"Alpena County","MI","26007",522
"Atlantic County","NJ","34001",521.8
"Chenango County","NY","36017",521.4
"Macon County","AL","01087",521.3
"Rensselaer County","NY","36083",521
"Warren County","NY","36113",521
"Wayne County","MI","26163",521
"Russell County","AL","01113",520.8
"Honolulu County","HI","15003",520.6
"Heard County","GA","13149",520.4
"Grand Traverse County","MI","26055",520.3
"Genesee County","NY","36037",520.1
"Clinton County","NY","36019",519.6
"Sherman County","OR","41055",519.4
"Stanley County","SD","46117",519.1
"Marlboro County","SC","45069",519.1
"Wapello County","IA","19179",518.9
"Forrest County","MS","28035",518.6
"De Soto Parish","LA","22031",518.3
"Mercer County","NJ","34021",518.1
"Hamilton County","NY","36041",518
"Nome Census Area","AK","02180",517.6
"Middlesex County","NJ","34023",517.3
"Hughes County","SD","46065",516.5
"Iron County","MO","29093",516.2
"Tyrrell County","NC","37177",516.1
"Tift County","GA","13277",515.7
"Somerset County","MD","24039",515.6
"Wayne County","NY","36117",515.5
"Cattaraugus County","NY","36009",515.5
"Minnehaha County","SD","46099",515.4
"Scotland County","NC","37165",515.4
"Washington County","NY","36115",515.4
"Grant County","AR","05053",515.3
"Orange County","NY","36071",515.1
"Copiah County","MS","28029",515.1
"Salem County","NJ","34033",515
"Boone County","WV","54005",514.9
"Rowan County","NC","37159",514.6
"St. Martin Parish","LA","22099",514.5
"Hardin County","IA","19083",514.3
"Putnam County","NY","36079",514.2
"Glascock County","GA","13125",514
"Pierce County","WA","53053",513.7
"Marion County","WV","54049",513.3
"Rockingham County","NC","37157",513
"Harrison County","MS","28047",512.7
"Des Moines County","IA","19057",512.4
"Niagara County","NY","36063",512
"Polk County","GA","13233",511.5
"Allegany County","MD","24001",511.5
"Pike County","MO","29163",511.5
"Rockingham County","NH","33015",511.4
"Dickinson County","IA","19059",511.4
"Duval County","FL","12031",511.2
"Kanawha County","WV","54039",511.1
"Bronx County","NY","36005",511.1
"Lamar County","GA","13171",511
"Pickens County","GA","13227",510.9
"Fulton County","NY","36035",510.8
"Claiborne County","TN","47025",510.7
"Wetzel County","WV","54103",510.4
"Levy County","FL","12075",510.3
"Oneida County","WI","55085",510.2
"Stone County","MS","28131",510
"Jackson County","GA","13157",509.9
"Napa County","CA","06055",509.8
"Caldwell County","MO","29025",509.7
"Jones County","NC","37103",509.1
"Baltimore City","MD","24510",508.8
"Westchester County","NY","36119",508.8
"Genesee County","MI","26049",508.7
"Flathead County","MT","30029",508.7
"Grays Harbor County","WA","53027",508.6
"Forest County","WI","55041",508.4
"Merrimack County","NH","33013",508.4
"Montgomery County","NY","36057",508.3
"Cortland County","NY","36023",508.3
"Henry County","MO","29083",508.2
"Hall County","GA","13139",508.1
"McClain County","OK","40087",508
"Richmond County","NC","37153",507.8
"Terrell County","GA","13273",507.8
"Boone County","NE","31011",507.8
"Grainger County","TN","47057",507.7
"Floyd County","IA","19067",507.7
"Webster County","MS","28155",507.5
"Hickman County","TN","47081",507.2
"Martin County","NC","37117",507.1
"Polk County","FL","12105",506.8
"Saratoga County","NY","36091",506.7
"Muscatine County","IA","19139",506.3
"Scurry County","TX","48415",506.3
"Terrebonne Parish","LA","22109",506.2
"Polk County","TN","47139",506
"Douglas County","SD","46043",505.5
"Muskegon County","MI","26121",505.2
"Warren County","NJ","34041",504.9
"Morris County","NJ","34027",504.8
"Randolph County","NC","37151",504.8
"Early County","GA","13099",504.8
"Albany County","NY","36001",504.8
"Walker County","AL","01127",504.6
"Starke County","IN","18149",504.5
"Hawkins County","TN","47073",504.3
