"USPS","GEOID","NAME","ALAND_SQMI","AWATER_SQMI"
"AL","01001","Autauga County",594.446,9.942
"AL","01003","Baldwin County",1589.808,437.504
"AL","01005","Barbour County",884.876,19.639
"AL","01007","Bibb County",622.583,3.586
"AL","01009","Blount County",644.807,5.821
"AL","01011","Bullock County",622.806,2.338
"AL","01013","Butler County",776.828,1.053
"AL","01015","Calhoun County",605.889,6.397
"AL","01017","Chambers County",596.531,6.582
"AL","01019","Cherokee County",553.72,46.258
"AL","01021","Chilton County",692.854,7.948
"AL","01023","Choctaw County",913.5,7.359
"AL","01025","Clarke County",1238.465,14.109
"AL","01027","Clay County",603.961,2.04
"AL","01029","Cleburne County",560.105,0.909
"AL","01031","Coffee County",678.986,1.509
"AL","01033","Colbert County",592.62,30.9
"AL","01035","Conecuh County",850.157,2.565
"AL","01037","Coosa County",650.926,15.423
"AL","01039","Covington County",1030.456,13.331
"AL","01041","Crenshaw County",608.84,2.076
"AL","01043","Cullman County",734.898,20.123
"AL","01045","Dale County",561.126,1.551
"AL","01047","Dallas County",978.695,15.11
"AL","01049","DeKalb County",777.094,1.591
"AL","01051","Elmore County",618.488,38.553
"AL","01053","Escambia County",945.08,8.059
"AL","01055","Etowah County",535.284,13.345
"AL","01057","Fayette County",627.684,1.672
"AL","01059","Franklin County",633.817,12.706
"AL","01061","Geneva County",574.408,4.543
"AL","01063","Greene County",647.105,12.836
"AL","01065","Hale County",643.943,12.558
"AL","01067","Henry County",561.75,6.559
"AL","01069","Houston County",579.866,1.811
"AL","01071","Jackson County",1077.867,48.903
"AL","01073","Jefferson County",1111.289,12.528
"AL","01075","Lamar County",604.846,0.618
"AL","01077","Lauderdale County",667.7,51.9
"AL","01079","Lawrence County",690.677,26.52
"AL","01081","Lee County",607.552,8.297
"AL","01083","Limestone County",559.939,47.248
"AL","01085","Lowndes County",715.911,9.159
"AL","01087","Macon County",608.908,4.3
"AL","01089","Madison County",801.609,11.106
"AL","01091","Marengo County",976.882,5.789
"AL","01093","Marion County",742.292,1.279
"AL","01095","Marshall County",565.842,57.337
"AL","01097","Mobile County",1229.4,414.612
"AL","01099","Monroe County",1025.687,8.73
"AL","01101","Montgomery County",784.363,15.548
"AL","01103","Morgan County",579.36,19.694
"AL","01105","Perry County",719.664,4.216
"AL","01107","Pickens County",881.43,8.695
"AL","01109","Pike County",672.104,0.902
"AL","01111","Randolph County",580.549,3.585
"AL","01113","Russell County",641.154,6.038
"AL","01115","St. Clair County",631.905,21.735
"AL","01117","Shelby County",785.369,24.155
"AL","01119","Sumter County",903.889,9.433
"AL","01121","Talladega County",736.777,23.529
